station,variable,year,month,month_num,value
Astore,min_temp,2003,November,11,-0.5
Astore,min_temp,2003,December,12,-5.9
Astore,min_temp,2004,January,1,-5.8
Astore,min_temp,2004,February,2,-5.7
Astore,min_temp,2004,March,3,1.9
Astore,min_temp,2004,April,4,4.8
Astore,min_temp,2004,May,5,7.8
Astore,min_temp,2004,June,6,11.2
Astore,min_temp,2004,July,7,12.9
Astore,min_temp,2004,August,8,13.1
Astore,min_temp,2004,September,9,9.7
Astore,min_temp,2004,October,10,4.1
Astore,min_temp,2004,November,11,0.0
Astore,min_temp,2004,December,12,-1.5
Astore,min_temp,2005,January,1,-7.8
Astore,min_temp,2005,February,2,-4.2
Astore,min_temp,2005,March,3,1.0
Astore,min_temp,2005,April,4,3.1
Astore,min_temp,2005,May,5,7.2
Astore,min_temp,2005,June,6,11.2
